Name,Collection,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism
Urticaria,symptoms,[1678] Bifidobacterium (-0.0317),[1578] Lactobacillus (-0.0317),[216572] Oscillospiraceae (-0.0259),[216851] Faecalibacterium (-0.0219),[816] Bacteroides (-0.0204),[543] Enterobacteriaceae (0.0167),[1239] Bacillota (-0.0167),[286] Pseudomonas (-0.0092),[283168] Odoribacter (-0.0092),[13687] Sphingomonas (-0.0092),[35832] Bilophila (-0.0092),[239759] Alistipes (-0.0092),[191303] Turicibacter (0.0092),[570] Klebsiella (0.0092),[1501226] Romboutsia (0.0092),[135619] Oceanospirillales (-0.0092),[702] Plesiomonas (0.0092),[830] Butyrivibrio (0.0092),[413496] Cronobacter (0.0092),[160674] Raoultella (0.0092),[1505657] Intestinibacter (0.0092),[574697] Butyricimonas (-0.0092),[207244] Anaerostipes (-0.0092),[52784] Anaerofilum (-0.0092),[46913] Devosia (-0.0092),[1392389] Intestinimonas (-0.0092),[1357] Lactococcus (0.0092),[543311] Parvimonas (-0.0092),[1769710] Sellimonas (0.0092),[577309] Paraprevotella (0.0092)
Dry Eye Syndromes,symptoms,[29465] Veillonella (0.0063),[292632] Subdoligranulum (-0.0063),[838] Prevotella (0.0001),,,,,,,,,,,,,,,,,,,,,,,,,,,
Flatulence,symptoms,[823] Parabacteroides distasonis (0.1476),[28116] Bacteroides ovatus (0.1476),[817] Bacteroides fragilis (0.1476),[820] Bacteroides uniformis (0.1476),[35833] Bilophila wadsworthia (0.1476),[1730] Eubacterium (-0.1243),[816] Bacteroides (0.1243),[128827] Erysipelotrichaceae (-0.0548),[577309] Paraprevotella (-0.0548),[84108] Slackia (-0.0548),[724] Haemophilus (-0.0548),[283] Comamonas (-0.0548),[2172] Methanobrevibacter (0.0063),[28890] Euryarchaeota (0.0063),[74426] Collinsella aerofaciens (-0.0),[1678] Bifidobacterium (-0.0),[29465] Veillonella (-0.0),[33043] Coprococcus eutactus (-0.0),[1578] Lactobacillus (-0.0),[33039] [Ruminococcus] torques (0.0),,,,,,,,,,
Guduchi Digestion,metabolisms,[31953] Bifidobacteriaceae (0.0063),[815] Bacteroidaceae (0.0063),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colitis-Associated Neoplasms,conditions,[13687] Sphingomonas (0.0325),[848] Fusobacterium (-0.0325),[1263] Ruminococcus (-0.0325),[543] Enterobacteriaceae (0.0325),,,,,,,,,,,,,,,,,,,,,,,,,,
Adiposity,symptoms,[1578] Lactobacillus (-0.0),[1735] Holdemanella biformis (-0.0),[Probiotic] Akkermansia muciniphila (0.0),[328813] Alistipes onderdonkii (-0.0),,,,,,,,,,,,,,,,,,,,,,,,,,
"Osteoarthritis, Knee",conditions,[80865] Delftia (0.0409),[572511] Blautia (0.0332),[1766253] Agathobacter (-0.0332),[39488] Anaerobutyricum hallii (0.0332),[1301] Streptococcus (0.0332),[207244] Anaerostipes (0.0332),[816] Bacteroides (-0.0332),[1392389] Intestinimonas (0.0204),[2740] Peptococcus (0.0204),[1331051] Candidatus Saccharimonas (0.0204),[186802] Eubacteriales (0.0204),[644652] Gordonibacter (0.0204),[574697] Butyricimonas (0.0204),[1283313] Alloprevotella (-0.0204),[84107] Coriobacteriaceae (0.0204),[283168] Odoribacter (-0.0204),[33024] Phascolarctobacterium (0.0204),[171551] Porphyromonadaceae (0.0204),[375288] Parabacteroides (0.0204),[200643] Bacteroidia (0.0155),[165179] Segatella copri (-0.0155),[171549] Bacteroidales (0.0155),[976] Bacteroidota (0.0155),[265975] Oribacterium (0.0),,,,,,
Alanine Transaminase,symptoms,[5206] Cryptococcus (0.0204),[39948] Dialister (-0.017),[292632] Subdoligranulum (-0.017),[186803] Lachnospiraceae (0.017),[577310] Parasutterella (0.017),[191303] Turicibacter (-0.017),[239934] Akkermansia (-0.017),[838] Prevotella (0.0),,,,,,,,,,,,,,,,,,,,,,
Cognitive Dysfunction,symptoms,[1263] Ruminococcus (-0.3107),[216851] Faecalibacterium (-0.2976),[838] Prevotella (0.2976),[207244] Anaerostipes (-0.2976),[853] Faecalibacterium prausnitzii (-0.1984),[200643] Bacteroidia (-0.1074),[28118] Odoribacter splanchnicus (-0.0631),[1535] [Clostridium] leptum (0.0631),[1872530] Anaerostipes sp. (-0.0631),[544448] Mycoplasmatota (0.0603),[543] Enterobacteriaceae (0.0603),[574697] Butyricimonas (-0.0536),[283168] Odoribacter (-0.0405),[33042] Coprococcus (0.0301),[31953] Bifidobacteriaceae (-0.0301),[84108] Slackia (0.0301),[33024] Phascolarctobacterium (0.0301),[1224] Pseudomonadota (0.0301),[74201] Verrucomicrobiota (-0.0301),[239934] Akkermansia (0.0301),[203557] Verrucomicrobiaceae (0.0301),[128827] Erysipelotrichaceae (0.0301),[990719] Christensenellaceae (0.0301),[1239] Bacillota (0.0301),[140625] Lachnobacterium (-0.0301),[2373] Acetonema (-0.0299),[201174] Actinomycetota (0.0299),[171549] Bacteroidales (0.0209),[816] Bacteroides (-0.0195),[572511] Blautia (-0.0191)
Amyotrophic Lateral Sclerosis,conditions,[283168] Odoribacter (0.0615),[31977] Veillonellaceae (-0.0615),[292632] Subdoligranulum (-0.0599),[562] Escherichia coli (0.0541),[543] Enterobacteriaceae (0.0523),[186803] Lachnospiraceae (-0.0513),[186802] Eubacteriales (-0.0513),[1906119] Candidatus Gastranaerophilales (0.0513),[1508657] Ruminiclostridium (0.0513),[1578] Lactobacillus (0.0513),[33042] Coprococcus (0.0513),[561] Escherichia (0.0513),[1392389] Intestinimonas (0.0513),[1017280] Pseudoflavonifractor (0.0513),[544] Citrobacter (0.0513),[577310] Parasutterella (-0.0513),[239934] Akkermansia (0.0513),[1678] Bifidobacterium (0.0513),[1117] Cyanobacteriota (0.0513),[Pathogen] Shigella (0.0513),[1263] Ruminococcus (-0.0513),[216572] Oscillospiraceae (0.0513),[515620] [Eubacterium] eligens ATCC 27750 (0.0364),[909932] Negativicutes (-0.014),[1473205] Senegalimassilia (0.0105),[248744] Marvinbryantia (-0.0105),[447020] Adlercreutzia (-0.0105),[1407607] Fusicatenibacter (-0.0105),[1228827] Influenza A virus) (-0.0105),[200643] Bacteroidia (0.0102)
Quercetin Digestion,metabolisms,[239934] Akkermansia (0.0373),[46255] Weissella (0.0373),[816] Bacteroides (0.0373),[216851] Faecalibacterium (0.0373),[1224] Pseudomonadota (0.0373),[515620] [Eubacterium] eligens ATCC 27750 (0.0178),[1299998] Tractidigestivibacter scatoligenes (0.0178),[1664069] Bacillus glycinifermentans (0.0178),[28111] Bacteroides eggerthii (0.0178),[292800] Flavonifractor plautii (0.0178),[39490] Eubacterium ramulus (0.0099),[995019] Sutterellaceae (-0.0063),[216572] Oscillospiraceae (-0.0063),[562] Escherichia coli (0.0063),[150055] Streptococcus lutetiensis (0.0063),[203492] Fusobacteriaceae (0.0063),[1583] Weissella confusa (0.0063),[Probiotic] Lactobacillus acidophilus (0.0063),[817] Bacteroides fragilis (0.0063),[Pathogen] Clostridium perfringens (0.0063),[160453] Enterococcus gilvus (0.0063),[543] Enterobacteriaceae (0.0063),,,,,,,,
Migraine without Aura,symptoms,[31953] Bifidobacteriaceae (-0.0477),[35518] [Eubacterium] nodatum (-0.0477),[85004] Bifidobacteriales (-0.0477),[577310] Parasutterella (-0.0477),[244127] Anaerotruncus (0.0477),[290055] Faecalicatena fissicatena (0.0477),[201174] Actinomycetota (0.0477),[135858] Catenibacterium (0.0477),[2005473] Muribaculaceae (-0.0477),[1798710] Candidatus Melainabacteria (-0.0477),,,,,,,,,,,,,,,,,,,,
Cystic Fibrosis,conditions,[853] Faecalibacterium prausnitzii (-0.1162),[33038] Mediterraneibacter gnavus (0.1077),[1351] Enterococcus faecalis (0.1077),[39491] Agathobacter rectalis (-0.106),[165179] Segatella copri (-0.0976),[40518] Ruminococcus bromii (-0.0976),[29466] Veillonella parvula (0.0976),[1512] [Clostridium] symbiosum (0.0976),[81852] Enterococcaceae (0.0451),[397864] Barnesiella (-0.0451),[216572] Oscillospiraceae (-0.0434),[244127] Anaerotruncus (-0.0349),[577309] Paraprevotella (-0.0349),[292632] Subdoligranulum (-0.0349),[200643] Bacteroidia (-0.019),[1239] Bacillota (0.019),[1224] Pseudomonadota (-0.019),[Probiotic] Streptococcus thermophilus (0.0102),[33042] Coprococcus (-0.0102),[33035] Blautia producta (0.0102),[84112] Eggerthella lenta (0.0102),[91061] Bacilli (0.0102),[658089] Lachnospiraceae bacterium 5_1_63FAA (-0.0102),[572511] Blautia (0.0102),[487174] Barnesiella intestinihominis (-0.0102),[1531] Enterocloster clostridioformis (0.0102),[1485] Clostridium (0.0102),[84111] Eggerthella (0.0102),[665951] Lachnospiraceae bacterium 8_1_57FAA (0.0102),[1578] Lactobacillus (0.0102)
Anorexia Nervosa,conditions,[2173] Methanobrevibacter smithii (0.0063),[84107] Coriobacteriaceae (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schizophrenia,conditions,[216851] Faecalibacterium (-0.0909),[33042] Coprococcus (-0.0904),[216572] Oscillospiraceae (-0.064),[1407607] Fusicatenibacter (-0.0596),[186802] Eubacteriales (-0.0594),[207244] Anaerostipes (-0.0594),[544] Citrobacter (-0.0594),[186803] Lachnospiraceae (-0.0583),[561] Escherichia (0.0517),[29465] Veillonella (0.0517),[84111] Eggerthella (0.0517),[Pathogen] Shigella (0.0517),[1283313] Alloprevotella (0.045),[186804] Peptostreptococcaceae (0.0449),[841] Roseburia (-0.0447),[526525] Erysipelotrichales (0.0445),[1239] Bacillota (-0.041),[171551] Porphyromonadaceae (0.0392),[28050] Lachnospira (-0.0392),[201174] Actinomycetota (0.0392),[83770] Succinivibrio (0.0387),[1573535] Holdemanella (0.0335),[838] Prevotella (0.0334),[158846] Megamonas (0.0334),[84108] Slackia (0.0334),[1654] Actinomyces (0.0334),[526524] Erysipelotrichia (0.0334),[91061] Bacilli (-0.0334),[1432051] Eisenbergiella (-0.0334),[580596] Butyricicoccus (-0.0334)
Guillain-Barre Syndrome,conditions,[Probiotic] Bifidobacterium longum subsp. infantis (-0.015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuromyelitis Optica,conditions,[473772] unclassified Oscillospiraceae (0.0308),[2608920] unclassified Ruminococcus (0.0308),[53419] Treponema socranskii (0.0308),[36866] unclassified Enterobacteriaceae (0.0308),[33807] unclassified Alphaproteobacteria (0.0308),[186928] unclassified Lachnospiraceae (0.0308),[185291] unclassified Bacteroidales (0.0308),[2646097] unclassified Bacteroides (0.0308),[Pathogen] Clostridium perfringens (0.0308),[1704278] unclassified Fibrobacteria (0.0308),[28132] Prevotella melaninogenica (0.0308),[1609545] unclassified Mollicutes (0.0308),[2624378] unclassified Corynebacterium (0.0308),[2684943] unclassified Coprococcus (0.0308),[361210] unclassified Porphyromonadaceae (0.0308),[33035] Blautia producta (0.0308),[2644011] unclassified Acholeplasma (0.0308),[1546154] unclassified Phycisphaerae (0.0308),[33811] unclassified Gammaproteobacteria (0.0308),[Probiotic] Bifidobacterium longum (-0.0257),[33025] Phascolarctobacterium faecium (0.0257),[437897] Megamonas funiformis (0.0257),[208479] Enterocloster bolteae (0.0257),[1547] Thomasclavelia ramosa (0.0257),[292800] Flavonifractor plautii (0.0257),[40518] Ruminococcus bromii (-0.0257),[838] Prevotella (-0.0257),[1301] Streptococcus (0.0208),[841] Roseburia (-0.0208),[1300] Streptococcaceae (0.0208)
Dementia,conditions,[1965233] Odoribacter sp. (0.0241),[2033407] Barnesiella sp. (0.0241),[2049040] Roseburia sp. (-0.0241),[142586] Eubacterium sp. (-0.0241),[1965294] Collinsella sp. (-0.0241),[39491] Agathobacter rectalis (-0.0078),,,,,,,,,,,,,,,,,,,,,,,,
Psoriasis,conditions,[216851] Faecalibacterium (0.0504),[459786] Oscillibacter (-0.048),[171551] Porphyromonadaceae (-0.0439),[28050] Lachnospira (0.0434),[841] Roseburia (-0.0314),[674529] Bacteroides faecis (-0.0314),[186801] Clostridia (-0.0314),[1300] Streptococcaceae (-0.0314),[91061] Bacilli (-0.0314),[80840] Burkholderiales (-0.0314),[84135] Gemella sanguinis (-0.0314),[270] Thermus (-0.0292),[1301] Streptococcus (-0.0292),[644652] Gordonibacter (-0.0292),[508215] Rothia (-0.0292),[2747] Carnobacterium (-0.0292),[117563] Granulicatella (-0.0292),[1357] Lactococcus (0.0292),[174708] Allobaculum (-0.0292),[1386] Bacillus (0.0292),[186928] unclassified Lachnospiraceae (-0.0277),[473772] unclassified Oscillospiraceae (-0.0273),[348841] unclassified Clostridia (-0.0273),[526525] Erysipelotrichales (-0.0273),[171558] Bacteroidetes incertae sedis (-0.0273),[100883] Coprobacillus (-0.0273),[84992] Acidimicrobiia (-0.0273),[1228827] Influenza A virus) (-0.0273),[526524] Erysipelotrichia (-0.0273),[33042] Coprococcus (-0.0273)
Gestational Weight Gain,symptoms,[171551] Porphyromonadaceae (0.0143),[1678] Bifidobacterium (-0.0058),[1535] [Clostridium] leptum (0.0058),[562] Escherichia coli (0.0058),[1279] Staphylococcus (0.0058),[Probiotic] Akkermansia muciniphila (-0.0058),[543] Enterobacteriaceae (0.0058),[816] Bacteroides (-0.0058),,,,,,,,,,,,,,,,,,,,,,
Chitosan Digestion,metabolisms,[816] Bacteroides (-0.0519),[1578] Lactobacillus (0.0519),[1350] Enterococcus (0.0519),[1498] Hathewaya histolytica (-0.0519),[39491] Agathobacter rectalis (-0.0519),[838] Prevotella (-0.0519),[41200] Bifidobacterium sp. (-0.0519),,,,,,,,,,,,,,,,,,,,,,,
Crohn Disease,conditions,[33038] Mediterraneibacter gnavus (0.8307),[562] Escherichia coli (0.6459),[853] Faecalibacterium prausnitzii (-0.4431),[216851] Faecalibacterium (-0.2962),[207244] Anaerostipes (-0.29),[1535] [Clostridium] leptum (-0.2881),[990719] Christensenellaceae (-0.2697),[848] Fusobacterium (0.2697),[218538] Dialister invisus (-0.2261),[1531] Enterocloster clostridioformis (0.226),[459786] Oscillibacter (-0.2193),[301301] Roseburia hominis (-0.2192),[820] Bacteroides uniformis (-0.1793),[561] Escherichia (0.1743),[1350] Enterococcus (0.1705),[1263] Ruminococcus (-0.1649),[186804] Peptostreptococcaceae (-0.1646),[649756] Anaerostipes hadrus (-0.1639),[102106] Collinsella (-0.1522),[2172] Methanobrevibacter (-0.1522),[739] Aggregatibacter segnis (0.1481),[713] Actinobacillus (0.1481),[1328] Streptococcus anginosus (0.1481),[1407607] Fusicatenibacter (-0.1445),[1150298] Fusicatenibacter saccharivorans (-0.1417),[216572] Oscillospiraceae (-0.1347),[191303] Turicibacter (-0.1343),[204475] Gemmiger (-0.1343),[724] Haemophilus (0.1277),[823] Parabacteroides distasonis (-0.1268)
Glut1 Deficiency Syndrome,conditions,[885] Desulfovibrio sp. (0.0081),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adverse Childhood Experiences,conditions,[128827] Erysipelotrichaceae (-0.0981),[838] Prevotella (0.0981),[33024] Phascolarctobacterium (-0.0981),,,,,,,,,,,,,,,,,,,,,,,,,,,
Graves Disease,conditions,[207244] Anaerostipes (-0.0853),[1301] Streptococcus (0.0763),[1228827] Influenza A virus) (0.0707),[1239] Bacillota (-0.0658),[100883] Coprobacillus (0.06),[850] Fusobacterium mortiferum (0.06),[29466] Veillonella parvula (0.06),[2093856] Butyricimonas faecalis (-0.06),[Probiotic] Akkermansia muciniphila (-0.06),[508215] Rothia (0.06),[84112] Eggerthella lenta (0.06),[853] Faecalibacterium prausnitzii (-0.06),[1680] Bifidobacterium adolescentis (-0.06),[1318] Streptococcus parasanguinis (0.06),[200643] Bacteroidia (0.0545),[28221] Deltaproteobacteria (0.0536),[1392389] Intestinimonas (0.0536),[1522] [Clostridium] innocuum (-0.0536),[31969] Mollicutes (0.0536),[1505652] Terrisporobacter (0.0536),[52784] Anaerofilum (0.0536),[33039] [Ruminococcus] torques (0.0536),[2740] Peptococcus (0.0536),[75682] Oxalobacteraceae (0.0536),[186807] Peptococcaceae (-0.0536),[29465] Veillonella (0.0499),[40544] Sutterella (-0.048),[171552] Prevotellaceae (0.0437),[1678] Bifidobacterium (-0.0381),[846] Oxalobacter (0.037)
Keratitis,conditions,[906] Megasphaera (-0.0064),[28050] Lachnospira (-0.0064),[841] Roseburia (-0.0064),[39948] Dialister (-0.0064),[816] Bacteroides (-0.0064),[216851] Faecalibacterium (-0.0064),[52225] Mitsuokella (-0.0064),[216572] Oscillospiraceae (-0.0064),[186803] Lachnospiraceae (-0.0064),[1263] Ruminococcus (-0.0064),[52226] Mitsuokella multacida (-0.0064),[31977] Veillonellaceae (-0.0064),[853] Faecalibacterium prausnitzii (-0.0064),[40544] Sutterella (-0.0064),[1680] Bifidobacterium adolescentis (-0.0064),[543] Enterobacteriaceae (-0.0064),[84107] Coriobacteriaceae (-0.0064),[157] Treponema (0.0064),[570] Klebsiella (-0.0064),[310297] Phocaeicola plebeius (-0.0064),[1623] Ligilactobacillus ruminis (-0.0064),[203492] Fusobacteriaceae (0.0064),[1485] Clostridium (-0.0064),[904] Acidaminococcus (-0.0064),[84993] Acidimicrobiales (0.0064),[2005519] Barnesiellaceae (-0.0064),[189330] Dorea (-0.0064),[31979] Clostridiaceae (-0.0064),[817] Bacteroides fragilis (0.0064),[1578] Lactobacillus (-0.0064)
Sacroiliitis,symptoms,[216572] Oscillospiraceae (-0.0121),[186803] Lachnospiraceae (-0.0121),[239759] Alistipes (-0.0121),,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Diseases,conditions,[2049040] Roseburia sp. (-0.0166),[576] Klebsiella sp. (0.0166),[46503] Parabacteroides merdae (0.0166),[1306] Streptococcus sp. (0.0166),[853] Faecalibacterium prausnitzii (-0.0166),,,,,,,,,,,,,,,,,,,,,,,,,
Pain Perception,symptoms,[1239] Bacillota (0.0024),[200643] Bacteroidia (-0.0024),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sjogren's Syndrome,conditions,[853] Faecalibacterium prausnitzii (-0.1315),[186803] Lachnospiraceae (-0.1147),[1224] Pseudomonadota (0.1052),[821] Phocaeicola vulgatus (0.0957),[28116] Bacteroides ovatus (0.0957),[820] Bacteroides uniformis (0.0957),[817] Bacteroides fragilis (0.0942),[29466] Veillonella parvula (0.0942),[113107] Streptococcus australis (-0.0942),[1318] Streptococcus parasanguinis (0.0942),[40519] Ruminococcus callidus (-0.0942),[33038] Mediterraneibacter gnavus (0.0942),[Probiotic] Ligilactobacillus salivarius (0.0942),[665950] Lachnospiraceae bacterium 3_1_46FAA (-0.0942),[2685293] unclassified Subdoligranulum (-0.0942),[1561] Clostridium baratii (0.0942),[208479] Enterocloster bolteae (0.0942),[543] Enterobacteriaceae (0.0932),[102106] Collinsella (-0.0786),[216851] Faecalibacterium (-0.0779),[562] Escherichia coli (0.0753),[91347] Enterobacterales (0.0753),[171551] Porphyromonadaceae (-0.0706),[1236] Gammaproteobacteria (0.0689),[216572] Oscillospiraceae (-0.0677),[1239] Bacillota (-0.0677),[292632] Subdoligranulum (-0.0532),[186802] Eubacteriales (-0.0498),[1678] Bifidobacterium (-0.0487),[33039] [Ruminococcus] torques (-0.048)
Post-Acute Covid-19 Syndrome,conditions,[1522] [Clostridium] innocuum (0.2372),[33038] Mediterraneibacter gnavus (0.2372),[292800] Flavonifractor plautii (0.2372),[39488] Anaerobutyricum hallii (-0.1276),[33039] [Ruminococcus] torques (-0.1197),[1150298] Fusicatenibacter saccharivorans (-0.1197),[40520] Blautia obeum (-0.1197),[114527] Mogibacterium diversum (-0.1197),[47678] Bacteroides caccae (-0.1197),[1550024] Ruthenibacterium lactatiformans (-0.1197),[143393] [Eubacterium] sulci (-0.1197),[821] Phocaeicola vulgatus (0.1197),[88431] Dorea longicatena (-0.1197),[33025] Phascolarctobacterium faecium (-0.1197),[745368] Gemmiger formicilis (-0.1197),[649756] Anaerostipes hadrus (-0.1197),[418240] Blautia wexlerae (-0.1197),[39491] Agathobacter rectalis (-0.1197),[35833] Bilophila wadsworthia (-0.1197),[1535] [Clostridium] leptum (-0.1197),[371601] Bacteroides xylanisolvens (0.1197),[360807] Roseburia inulinivorans (-0.1197),[1262992] Firmicutes bacterium CAG:83 (-0.1197),[39486] Dorea formicigenerans (-0.1197),[818] Bacteroides thetaiotaomicron (0.1197),[853] Faecalibacterium prausnitzii (-0.1197),[33033] Parvimonas micra (-0.1197),[301302] Roseburia faecis (-0.1197),[1328] Streptococcus anginosus (0.1197),[562] Escherichia coli (-0.1197)
Undifferentiated Connective Tissue Diseases,conditions,[84113] unclassified Coriobacteriaceae (0.0115),[1678] Bifidobacterium (0.0115),[1508657] Ruminiclostridium (0.0115),[102106] Collinsella (0.0115),[36866] unclassified Enterobacteriaceae (0.0115),[40544] Sutterella (-0.0115),[28050] Lachnospira (-0.0115),[1301] Streptococcus (0.0115),[1506553] Lachnoclostridium (-0.0115),,,,,,,,,,,,,,,,,,,,,
Glucagon,symptoms,[1760] Actinomycetes (-0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amyloidosis,conditions,[39491] Agathobacter rectalis (-0.0118),[817] Bacteroides fragilis (-0.0118),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactitol Digestion,metabolisms,[1678] Bifidobacterium (0.0061),[1578] Lactobacillus (0.0001),[1301] Streptococcus (0.0001),,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyol Digestion,metabolisms,[Probiotic] Lactiplantibacillus plantarum (0.0098),[1678] Bifidobacterium (0.0058),[Probiotic] Lactococcus lactis (0.0001),,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenomatous Polyps,conditions,[114527] Mogibacterium diversum (-0.1194),[649756] Anaerostipes hadrus (-0.1194),[817] Bacteroides fragilis (0.1194),[1522] [Clostridium] innocuum (-0.1194),[143393] [Eubacterium] sulci (-0.1194),[1328] Streptococcus anginosus (-0.1194),[Probiotic] Streptococcus salivarius (-0.1194),[39486] Dorea formicigenerans (-0.1194),[1262992] Firmicutes bacterium CAG:83 (0.1194),[371601] Bacteroides xylanisolvens (0.1194),[821] Phocaeicola vulgatus (0.1194),[47678] Bacteroides caccae (0.1194),[292800] Flavonifractor plautii (0.1194),[328814] Alistipes shahii (0.1194),[823] Parabacteroides distasonis (0.1194),[28116] Bacteroides ovatus (0.1194),[35833] Bilophila wadsworthia (0.1194),[818] Bacteroides thetaiotaomicron (0.1194),[1150298] Fusicatenibacter saccharivorans (-0.1194),[820] Bacteroides uniformis (0.1194),[1628085] Agathobaculum butyriciproducens (-0.1194),[40520] Blautia obeum (-0.1194),[1318] Streptococcus parasanguinis (-0.1194),[88431] Dorea longicatena (-0.1194),[418240] Blautia wexlerae (-0.1194),[28118] Odoribacter splanchnicus (0.1194),[39488] Anaerobutyricum hallii (-0.1033),[561] Escherichia (0.0239),[Pathogen] Shigella (0.0239),[35832] Bilophila (0.0231)
